,Irradiance,Real_Power_PV,Reactive_Power_Total,Real_Power_Total,Reactive_Power_PV,Apparent_PF,Load_PF,IrradianceProxy
2015-10-20 18:41:00,0.0,-8598.549450339535,348903.6511981107,3613940.7121384107,20013.05157070699,0.9954350396780041,0.9948953179406083,-0.11960000000025475
2015-10-20 18:42:00,0.0,-8393.912897819337,347907.9731405324,3648304.029713707,20056.952169650423,0.9945850692308152,0.9940041670281354,-0.11960000000025475
2015-10-20 18:43:00,0.0,-8588.816612787807,349809.242968848,3614985.6836430947,19995.511234506663,0.9952614118793698,0.994712692741905,-0.12300000000025475
2015-10-20 18:44:00,0.0,-8409.956232610923,354897.8704607233,3653374.159813958,20067.865089270566,0.9947445129670812,0.9941722853987548,-0.12300000000025475
2015-10-20 18:45:00,0.0,-8780.12941761427,365283.63986224326,3642014.117038668,19968.874153519027,0.9947126666103028,0.9941398079907664,-0.11960000000025475
2015-10-20 18:46:00,0.0,-8383.688333264534,370432.02664682834,3648944.3649645634,20098.41614897528,0.9945787928185078,0.9939964465722425,-0.11960000000025475
2015-10-20 18:47:00,0.0,-8781.845065307843,374337.00232904736,3599266.754347969,19929.942365615432,0.99593283505559,0.9954219527735111,-0.11960000000025475
2015-10-20 18:48:00,0.0,-8412.837472185958,371883.86583816685,3646718.1432512216,20059.524053011344,0.9953162301123848,0.9947736714422194,-0.11960000000025475
2015-10-20 18:49:00,0.0,-8590.773803838674,369030.2860789016,3678943.8982146084,19972.908952332815,0.9948903826851264,0.9943324741079638,-0.11620000000025474
2015-10-20 18:50:00,0.0,-8610.342002548263,362822.00603172864,3625194.774110646,19975.865683524717,0.9953966281603085,0.9948575143098873,-0.11620000000025474
2015-10-20 18:51:00,0.0,-8604.15803319931,356879.3457016095,3634869.8627018575,20000.385238473344,0.9959845081447013,0.9954800494585386,-0.11280000000025474
2015-10-20 18:52:00,0.0,-8618.405885605687,352373.29398961045,3669681.7902425323,20002.677758226477,0.9950572420228508,0.9945057912357048,-0.10940000000025474
2015-10-20 18:53:00,0.0,-8611.238565509884,353511.9911574247,3675496.0382941556,20007.64064750984,0.9950655117061894,0.9945152566730864,-0.10940000000025474
2015-10-20 18:54:00,0.0,-8431.344897603354,351190.8125412881,3651159.3175625056,20075.65293277843,0.9950803397406107,0.9945252027226666,-0.10940000000025474
2015-10-20 18:55:00,0.0,-8842.411572651912,351377.71734245965,3596009.6957046967,19908.166804633307,0.9960421080242895,0.9955378866339315,-0.11280000000025474
2015-10-20 18:56:00,0.0,-8452.322308202354,352326.5357193922,3663416.366856575,20029.560143997674,0.9948680710731322,0.9943049605109047,-0.11280000000025474
2015-10-20 18:57:00,0.0,-8840.601334865645,358396.50205568277,3631206.799340117,19942.258228983672,0.9946983692545608,0.9941237980804098,-0.11620000000025474
2015-10-20 18:58:00,0.0,-8435.482818226723,361382.9878066434,3627963.949443168,20048.193436056725,0.994533333003343,0.993946699922565,-0.11620000000025474
2015-10-20 18:59:00,0.0,-8645.917817569483,364806.6250384686,3601566.2522865385,19967.66219672394,0.9961585465357503,0.9956607269030251,-0.11960000000025475
2015-10-20 19:00:00,0.0,-8645.879795695855,359041.95283391455,3594773.639676189,20013.67233704967,0.9957825437448673,0.995259873165303,-0.11620000000025474
2015-10-20 19:01:00,0.0,-8736.446706156636,348448.6646995918,3489895.743542522,19901.579420529724,0.997666457803942,0.9972619650185716,-0.11620000000025474
2015-10-20 19:02:00,0.0,-8485.723924693866,320988.18690641475,3441766.4793369863,20041.366202606194,0.9978583395790361,0.9974614470627564,-0.11620000000025474
2015-10-20 19:03:00,0.0,-8630.942459605969,293305.25000614685,3496793.8291332237,19966.853461748375,0.997078961511309,0.9966283786335317,-0.11620000000025474
2015-10-20 19:04:00,0.0,-8464.340237581036,265463.84639377927,3499410.1593260113,20047.783112693505,0.9973482092977077,0.9969163989530057,-0.11620000000025474
2015-10-20 19:05:00,0.0,-8858.741995993056,249108.7056946841,3444557.7253495515,19924.743513022724,0.9978282182145309,0.9974314044541004,-0.11960000000025475
2015-10-20 19:06:00,0.0,-8455.416088225811,238673.94299010228,3459471.5430111876,20034.497924276,0.997355151011698,0.9969189997669365,-0.12300000000025475
2015-10-20 19:07:00,0.0,-8454.52246656223,240643.25366757085,3433785.5875250087,20058.42808318657,0.997723151903922,0.9973132339686949,-0.12300000000025475
2015-10-20 19:08:00,0.0,-8652.117542148313,251002.45251972397,3520652.077849296,19948.629234001542,0.9964171997987331,0.995924650488635,-0.12300000000025475
2015-10-20 19:09:00,0.0,-8417.64216670128,265590.57023765665,3612711.3589567044,20090.430991235462,0.9950198733332093,0.9944549701352412,-0.11960000000025475
2015-10-20 19:10:00,0.0,-8597.000382378566,286462.69710044964,3594794.610743485,19993.567751685485,0.9955862533939496,0.9950527220947964,-0.11620000000025474
2015-10-20 19:11:00,0.0,-8429.285593629895,294633.00795577455,3546613.621374489,20048.29204507066,0.9966069878299038,0.9961282263648448,-0.11280000000025474
2015-10-20 19:12:00,0.0,-8486.060770832824,298834.94716411975,3527071.222939017,20028.183894608977,0.9967624536792021,0.9962920404305975,-0.10940000000025474
2015-10-20 19:13:00,0.0,-8427.017188846796,296875.3503683024,3527642.594750135,20027.091934237396,0.9967562030815224,0.9962854721178778,-0.10600000000025474
2015-10-20 19:14:00,0.0,-8634.146486638172,287579.8390502239,3477947.3329002764,19957.289539886293,0.9973195926632977,0.9968848142504741,-0.10600000000025474
2015-10-20 19:15:00,0.0,-8635.162999449229,270057.28724453406,3454477.3230185835,19947.011086126447,0.9974511748989355,0.9970238870988986,-0.10940000000025474
2015-10-20 19:16:00,0.0,-8646.672164166412,261534.06789646353,3438674.7686817665,19967.714266332106,0.9974233052266487,0.9969912862618535,-0.10940000000025474
2015-10-20 19:17:00,0.0,-8480.516417953655,257617.03112543296,3455147.343312728,20035.14458401472,0.997443955722062,0.9970142380351851,-0.11280000000025474
2015-10-20 19:18:00,0.0,-8828.270531268834,254845.6284842297,3457424.7275593765,19916.608568680436,0.9968599961197211,0.9963893654255279,-0.11620000000025474
2015-10-20 19:19:00,0.0,-8436.406196279742,262202.461634271,3531262.1865669684,20056.263575767953,0.99608415354784,0.9955691311248416,-0.11960000000025475
